PBSlen,1.0049006419836595
RTlen,4.18796689825195
RT-PBSlen,4.2991740037456765
Edit_pos,1.3040034064999502
Edit_len,0.0
RHA_len,4.4186486069255775
type_sub,0.16252363760653246
type_ins,0.11858847370220846
type_del,0.11277553443574685
Tm1,10.62620222208191
Tm2,9.899018026696325
Tm2new,9.91302746582213
Tm3,78.78267350642562
Tm4,10.655076838261985
TmD,79.0583201836088
nGCcnt1,1.4749429927833775
nGCcnt2,2.872752112091449
nGCcnt3,3.3051199692228037
fGCcont1,12.821987241812312
fGCcont2,11.099226755022313
fGCcont3,9.599860820115303
MFE3,2.8192312096184846
MFE4,1.9439385849640292
DeepSpCas9_score,11.993589803212943
