PBSlen,11.023887199336468
RTlen,13.381310478296932
RT-PBSlen,24.4051976776334
Edit_pos,5.073431020182472
Edit_len,1.0
RHA_len,8.320763063312137
type_sub,0.9728504285319325
type_ins,0.014265966270389827
type_del,0.012883605197677634
Tm1,30.171475940218595
Tm2,36.74303666112196
Tm2new,36.72430763736244
Tm3,-344.6619557046553
Tm4,37.8780791856752
TmD,-381.4049924017337
nGCcnt1,6.221343654962676
nGCcnt2,7.654077965164501
nGCcnt3,13.875421620127177
fGCcont1,56.50435713129831
fGCcont2,57.136485116778815
fGCcont3,56.90450716852339
MFE3,-3.708178048106064
MFE4,-2.233182195189286
DeepSpCas9_score,50.441896975856814
